time,site,et,hectares,megaliters
2016-02-21,US-Bi1,1.576,2.126,0.034
2016-02-21,US-Bi2,0.835,2.129,0.018
2016-02-21,US-Tw3,1.926,2.13,0.041
2016-02-21,US-Twt,1.339,2.125,0.028
2016-02-22,US-Bi1,1.382,2.126,0.029
2016-02-22,US-Bi2,0.726,2.129,0.015
2016-02-22,US-Tw3,1.567,2.13,0.033
2016-02-22,US-Twt,1.083,2.125,0.023
2016-02-23,US-Bi1,1.18,2.126,0.025
2016-02-23,US-Bi2,0.616,2.129,0.013
2016-02-23,US-Tw3,1.385,2.13,0.03
2016-02-23,US-Twt,0.952,2.125,0.02
2016-02-24,US-Bi1,1.197,2.126,0.025
2016-02-24,US-Bi2,0.62,2.129,0.013
2016-02-24,US-Tw3,1.377,2.13,0.029
2016-02-24,US-Twt,0.942,2.125,0.02
2016-02-25,US-Bi1,1.214,2.126,0.026
2016-02-25,US-Bi2,0.624,2.129,0.013
2016-02-25,US-Tw3,1.368,2.13,0.029
2016-02-25,US-Twt,0.931,2.125,0.02
2016-02-26,US-Bi1,1.231,2.126,0.026
2016-02-26,US-Bi2,0.628,2.129,0.013
2016-02-26,US-Tw3,1.36,2.13,0.029
2016-02-26,US-Twt,0.92,2.125,0.02
2016-02-27,US-Bi1,1.404,2.126,0.03
2016-02-27,US-Bi2,0.712,2.129,0.015
2016-02-27,US-Tw3,1.521,2.13,0.032
2016-02-27,US-Twt,1.023,2.125,0.022
2016-02-28,US-Bi1,1.582,2.126,0.034
2016-02-28,US-Bi2,0.796,2.129,0.017
2016-02-28,US-Tw3,1.68,2.13,0.036
2016-02-28,US-Twt,1.123,2.125,0.024
2016-02-29,US-Bi1,1.523,2.126,0.032
2016-02-29,US-Bi2,0.761,2.129,0.016
2016-02-29,US-Tw3,1.67,2.13,0.036
2016-02-29,US-Twt,1.11,2.125,0.024
2016-03-01,US-Bi1,2.114,2.126,0.045
2016-03-01,US-Bi2,1.049,2.129,0.022
2016-03-01,US-Tw3,2.236,2.13,0.048
2016-03-01,US-Twt,1.477,2.125,0.031
2016-03-02,US-Bi1,1.983,2.126,0.042
2016-03-02,US-Bi2,0.978,2.129,0.021
2016-03-02,US-Tw3,2.14,2.13,0.046
2016-03-02,US-Twt,1.405,2.125,0.03
