time,site,et,hectares,megaliters
2016-02-23,US-Tw3,0.537,2.13,0.011
2016-02-23,US-Twt,1.424,2.125,0.03
2016-02-24,US-Bi1,0.794,2.126,0.017
2016-02-24,US-Bi2,0.617,2.129,0.013
2016-02-24,US-Tw3,0.55,2.13,0.012
2016-02-24,US-Twt,1.435,2.125,0.03
2016-02-25,US-Bi1,0.831,2.126,0.018
2016-02-25,US-Bi2,0.66,2.129,0.014
2016-02-25,US-Tw3,0.562,2.13,0.012
2016-02-25,US-Twt,1.446,2.125,0.031
2016-02-26,US-Bi1,0.867,2.126,0.018
2016-02-26,US-Bi2,0.702,2.129,0.015
2016-02-26,US-Tw3,0.575,2.13,0.012
2016-02-26,US-Twt,1.458,2.125,0.031
2016-02-27,US-Bi1,1.017,2.126,0.022
2016-02-27,US-Bi2,0.838,2.129,0.018
2016-02-27,US-Tw3,0.661,2.13,0.014
2016-02-27,US-Twt,1.652,2.125,0.035
2016-02-28,US-Bi1,1.175,2.126,0.025
2016-02-28,US-Bi2,0.984,2.129,0.021
2016-02-28,US-Tw3,0.75,2.13,0.016
2016-02-28,US-Twt,1.85,2.125,0.039
2016-02-29,US-Bi1,1.16,2.126,0.025
2016-02-29,US-Bi2,0.986,2.129,0.021
2016-02-29,US-Tw3,0.766,2.13,0.016
2016-02-29,US-Twt,1.864,2.125,0.04
2016-03-01,US-Bi1,1.648,2.126,0.035
2016-03-01,US-Bi2,1.42,2.129,0.03
2016-03-01,US-Tw3,1.052,2.13,0.022
2016-03-01,US-Twt,2.53,2.125,0.054
2016-03-02,US-Bi1,1.581,2.126,0.034
2016-03-02,US-Bi2,1.379,2.129,0.029
2016-03-02,US-Tw3,1.034,2.13,0.022
2016-03-02,US-Twt,2.455,2.125,0.052
2016-03-03,US-Bi1,0.981,2.126,0.021
2016-03-03,US-Bi2,0.866,2.129,0.018
2016-03-03,US-Tw3,0.568,2.13,0.012
2016-03-03,US-Twt,1.332,2.125,0.028
2016-03-04,US-Bi1,1.352,2.126,0.029
2016-03-04,US-Bi2,1.206,2.129,0.026
2016-03-04,US-Tw3,0.785,2.13,0.017
2016-03-04,US-Twt,1.821,2.125,0.039
2016-03-05,US-Bi1,0.977,2.126,0.021
2016-03-05,US-Bi2,0.88,2.129,0.019
2016-03-05,US-Tw3,0.59,2.13,0.013
2016-03-05,US-Twt,1.351,2.125,0.029
2016-03-06,US-Bi1,1.656,2.126,0.035
2016-03-06,US-Bi2,1.505,2.129,0.032
2016-03-06,US-Tw3,1.029,2.13,0.022
2016-03-06,US-Twt,2.333,2.125,0.05
2016-03-07,US-Bi1,1.336,2.126,0.028
2016-03-07,US-Bi2,1.224,2.129,0.026
2016-03-07,US-Tw3,0.83,2.13,0.018
2016-03-07,US-Twt,1.861,2.125,0.04
2016-03-08,US-Bi1,1.452,2.126,0.031
2016-03-08,US-Bi2,1.341,2.129,0.029
2016-03-08,US-Tw3,0.999,2.13,0.021
2016-03-08,US-Twt,2.109,2.125,0.045
2016-03-09,US-Bi1,1.431,2.126,0.03
2016-03-09,US-Bi2,1.244,2.129,0.026
2016-03-09,US-Tw3,0.849,2.13,0.018
2016-03-09,US-Twt,1.792,2.125,0.038
2016-03-10,US-Bi1,1.282,2.126,0.027
2016-03-10,US-Bi2,1.136,2.129,0.024
2016-03-10,US-Tw3,0.699,2.13,0.015
2016-03-10,US-Twt,1.476,2.125,0.031
2016-03-11,US-Bi1,1.301,2.126,0.028
2016-03-11,US-Bi2,1.174,2.129,0.025
2016-03-11,US-Tw3,0.749,2.13,0.016
2016-03-11,US-Twt,1.581,2.125,0.034
2016-03-12,US-Bi1,1.76,2.126,0.037
2016-03-12,US-Bi2,1.617,2.129,0.034
2016-03-12,US-Tw3,0.999,2.13,0.021
2016-03-12,US-Twt,2.109,2.125,0.045
2016-03-13,US-Bi1,1.339,2.126,0.028
2016-03-13,US-Bi2,1.252,2.129,0.027
2016-03-13,US-Tw3,0.749,2.13,0.016
2016-03-13,US-Twt,1.581,2.125,0.034
2016-03-14,US-Bi1,2.082,2.126,0.044
2016-03-14,US-Bi2,1.978,2.129,0.042
2016-03-14,US-Tw3,1.098,2.13,0.023
2016-03-14,US-Twt,2.319,2.125,0.049
2016-03-15,US-Bi1,2.661,2.126,0.057
2016-03-15,US-Bi2,2.569,2.129,0.055
2016-03-15,US-Tw3,1.448,2.13,0.031
2016-03-15,US-Twt,3.057,2.125,0.065
2016-03-16,US-Bi1,2.733,2.126,0.058
2016-03-16,US-Bi2,2.888,2.129,0.061
2016-03-16,US-Tw3,1.629,2.13,0.035
2016-03-16,US-Twt,3.174,2.125,0.067
2016-03-17,US-Bi1,2.901,2.126,0.062
2016-03-17,US-Bi2,3.048,2.129,0.065
2016-03-17,US-Tw3,1.761,2.13,0.038
2016-03-17,US-Twt,3.186,2.125,0.068
2016-03-18,US-Bi1,3.273,2.126,0.07
2016-03-18,US-Bi2,3.419,2.129,0.073
2016-03-18,US-Tw3,2.081,2.13,0.044
2016-03-18,US-Twt,3.517,2.125,0.075
2016-03-19,US-Bi1,3.151,2.126,0.067
2016-03-19,US-Bi2,3.275,2.129,0.07
2016-03-19,US-Tw3,2.091,2.13,0.045
2016-03-19,US-Twt,3.316,2.125,0.07
