time,site,et,hectares,megaliters
2016-02-14,US-Tw3,2.287,2.13,0.049
2016-02-14,US-Twt,2.291,2.125,0.049
2016-02-15,US-Bi1,0.989,2.126,0.021
2016-02-15,US-Bi2,0.052,2.129,0.001
2016-02-15,US-Tw3,1.457,2.13,0.031
2016-02-15,US-Twt,1.462,2.125,0.031
2016-02-16,US-Bi1,1.184,2.126,0.025
2016-02-16,US-Bi2,0.078,2.129,0.002
2016-02-16,US-Tw3,1.765,2.13,0.038
2016-02-16,US-Twt,1.774,2.125,0.038
2016-02-17,US-Bi1,0.867,2.126,0.018
2016-02-17,US-Bi2,0.069,2.129,0.001
2016-02-17,US-Tw3,1.193,2.13,0.025
2016-02-17,US-Twt,1.201,2.125,0.026
2016-02-18,US-Bi1,1.362,2.126,0.029
2016-02-18,US-Bi2,0.125,2.129,0.003
2016-02-18,US-Tw3,1.892,2.13,0.04
2016-02-18,US-Twt,1.908,2.125,0.041
2016-02-19,US-Bi1,1.092,2.126,0.023
2016-02-19,US-Bi2,0.113,2.129,0.002
2016-02-19,US-Tw3,1.406,2.13,0.03
2016-02-19,US-Twt,1.421,2.125,0.03
2016-02-20,US-Bi1,1.366,2.126,0.029
2016-02-20,US-Bi2,0.309,2.129,0.007
2016-02-20,US-Tw3,1.626,2.13,0.035
2016-02-20,US-Twt,1.579,2.125,0.034
2016-02-21,US-Bi1,1.397,2.126,0.03
2016-02-21,US-Bi2,0.347,2.129,0.007
2016-02-21,US-Tw3,1.688,2.13,0.036
2016-02-21,US-Twt,1.638,2.125,0.035
2016-02-22,US-Bi1,1.234,2.126,0.026
2016-02-22,US-Bi2,0.332,2.129,0.007
2016-02-22,US-Tw3,1.368,2.13,0.029
2016-02-22,US-Twt,1.326,2.125,0.028
2016-02-23,US-Bi1,1.062,2.126,0.023
2016-02-23,US-Bi2,0.307,2.129,0.007
2016-02-23,US-Tw3,1.205,2.13,0.026
2016-02-23,US-Twt,1.166,2.125,0.025
2016-02-24,US-Bi1,1.085,2.126,0.023
2016-02-24,US-Bi2,0.335,2.129,0.007
2016-02-24,US-Tw3,1.194,2.13,0.025
2016-02-24,US-Twt,1.154,2.125,0.025
2016-02-25,US-Bi1,1.108,2.126,0.024
2016-02-25,US-Bi2,0.362,2.129,0.008
2016-02-25,US-Tw3,1.182,2.13,0.025
2016-02-25,US-Twt,1.142,2.125,0.024
2016-02-26,US-Bi1,1.131,2.126,0.024
2016-02-26,US-Bi2,0.39,2.129,0.008
2016-02-26,US-Tw3,1.171,2.13,0.025
2016-02-26,US-Twt,1.129,2.125,0.024
2016-02-27,US-Bi1,1.298,2.126,0.028
2016-02-27,US-Bi2,0.469,2.129,0.01
2016-02-27,US-Tw3,1.305,2.13,0.028
2016-02-27,US-Twt,1.256,2.125,0.027
2016-02-28,US-Bi1,1.471,2.126,0.031
2016-02-28,US-Bi2,0.556,2.129,0.012
2016-02-28,US-Tw3,1.436,2.13,0.031
2016-02-28,US-Twt,1.381,2.125,0.029
2016-02-29,US-Bi1,1.424,2.126,0.03
2016-02-29,US-Bi2,0.561,2.129,0.012
2016-02-29,US-Tw3,1.421,2.13,0.03
2016-02-29,US-Twt,1.365,2.125,0.029
2016-03-01,US-Bi1,1.988,2.126,0.042
2016-03-01,US-Bi2,0.813,2.129,0.017
2016-03-01,US-Tw3,1.896,2.13,0.04
2016-03-01,US-Twt,1.818,2.125,0.039
2016-03-02,US-Bi1,1.875,2.126,0.04
2016-03-02,US-Bi2,0.794,2.129,0.017
2016-03-02,US-Tw3,1.807,2.13,0.038
2016-03-02,US-Twt,1.731,2.125,0.037
2016-03-03,US-Bi1,1.146,2.126,0.024
2016-03-03,US-Bi2,0.501,2.129,0.011
2016-03-03,US-Tw3,0.963,2.13,0.021
